1/14444	强化+10卷轴
1/180	麻醉枪+8
1/240	麻醉枪+9
1/500	麻醉枪+10

1/15	绷带+4
1/30	绷带+5
1/60	绷带+6
1/120	绷带+7
1/180	绷带+8
1/240	绷带+9
1/500	绷带+10

1/15	四星勋章
1/30	五星勋章
1/60	六星勋章
1/120	七星勋章
1/180	八星勋章
1/240	九星勋章
1/500	十星勋章

1/15	盾牌★★★★
1/30	盾牌★★★★★
1/60	盾牌★★★★★★
1/120	盾牌★★★★★★★
1/180	盾牌★★★★★★★★
1/240	盾牌★★★★★★★★★
1/500	盾牌★★★★★★★★★★
1/1000	★盾牌★
1/5000	★★神盾★★★
1/10000	★★★罗生★★★
1/28000	★★★★无敌★★★★

1/10	绝世剑
1/20	惊天の之剑
1/30	憾世の之剑
1/40	雷霆の之剑
1/60	战神の冰剑
1/80	火龙の神斩
1/120	枯木寸草★风
1/180	炽热之心★怒
1/240	血泪苍穹★魂
1/320	天下无双★斩
1/640	(滅世)卐亂·天下の無雙
1/1280	(無極)卐魔·烈焰の焚天
1/2560	(炎黃)卐極·王者·利刃
1/5120	(凰)卐真·究極·魂兵
1/8820	时空·天界圣火
1/16220	拿在手上真好看★
1/25620	地狱修罗神天兵
1/50620	焚天·神葬+S

1/10	绝世甲
1/20	惊天の魔甲
1/30	憾世の战甲
1/40	雷霆の战甲
1/60	战神の战甲
1/80	火龙の战甲
1/120	野火燎原★炎
1/180	寒冰之心★忍
1/240	泪血斗破★魄
1/320	独霸天下★甲
1/640	(滅世)卐亂·我欲の修仙
1/1280	(無極)卐魔·血戰の到底
1/2560	(炎黃)卐極·王者·戰甲
1/5120	火神·奇迹庇佑
1/8820	时空·天界圣火
1/16220	天堂圣魂鬼僧袍
1/25620	神裁·鬼泣+S
1/50220	火炬之光[破天]+SS

#CHILD	1/1	RANDOM
(
1/10	绝世剑
1/20	惊天の之剑
1/30	憾世の之剑
1/40	雷霆の之剑
1/60	战神の冰剑
1/80	火龙の神斩
1/120	枯木寸草★风
1/180	炽热之心★怒
1/240	血泪苍穹★魂
1/320	天下无双★斩
1/640	(滅世)卐亂·天下の無雙
1/1280	(無極)卐魔·烈焰の焚天
1/2560	(炎黃)卐極·王者·利刃
1/5120	(凰)卐真·究極·魂兵
1/8820	时空·天界圣火
1/16220	拿在手上真好看★
1/25620	地狱修罗神天兵
1/50620	焚天·神葬+S

1/10	绝世甲
1/20	惊天の魔甲
1/30	憾世の战甲
1/40	雷霆の战甲
1/60	战神の战甲
1/80	火龙の战甲
1/120	野火燎原★炎
1/180	寒冰之心★忍
1/240	泪血斗破★魄
1/320	独霸天下★甲
1/640	(滅世)卐亂·我欲の修仙
1/1280	(無極)卐魔·血戰の到底
1/2560	(炎黃)卐極·王者·戰甲
1/5120	火神·奇迹庇佑
1/8820	时空·天界圣火
1/16220	天堂圣魂鬼僧袍
1/25620	神裁·鬼泣+S
1/50220	火炬之光[破天]+SS
)

#CHILD	1/1	RANDOM
(
1/333	枯枝★头盔
1/333	枯枝★项链
1/333	枯枝★戒指
1/333	枯枝★手镯
1/333	枯枝★腰带
1/333	枯枝★靴子
1/40	炎寒★头盔
1/40	炎寒★项链
1/40	炎寒★手镯
1/40	炎寒★戒指
1/40	炎寒★腰带
1/40	炎寒★神靴
1/60	魂魄★头盔
1/60	魂魄★项链
1/60	魂魄★手镯
1/60	魂魄★戒指
1/60	魂魄★腰带
1/60	魂魄★神靴
1/90	争辉★心盔
1/90	争辉★项链
1/90	争辉★手镯
1/90	争辉★戒指
1/90	争辉★腰带
1/90	争辉★神靴
)

1/30	炎寒★头盔
1/30	炎寒★项链
1/30	炎寒★手镯
1/30	炎寒★戒指
1/30	炎寒★腰带
1/30	炎寒★神靴

1/60	魂魄★头盔
1/60	魂魄★项链
1/60	魂魄★手镯
1/60	魂魄★戒指
1/60	魂魄★腰带
1/60	魂魄★神靴

1/90	争辉★心盔
1/90	争辉★项链
1/90	争辉★手镯
1/90	争辉★戒指
1/90	争辉★腰带
1/90	争辉★神靴

1/150	(滅世)卐亂·精灵
1/150	(滅世)卐亂·暗殿
1/150	(滅世)卐亂·圣光
1/150	(滅世)卐亂·死亡
1/150	(滅世)卐亂·天启
1/150	(滅世)卐亂·毁灭

1/300	(暗影)卐鬼面纱
1/300	(暗影)卐龙吊坠
1/300	(暗影)卐噬手镯
1/300	(暗影)卐血指环
1/300	(暗影)卐弑护腿
1/300	(暗影)卐影战靴

1/600	(魔王)卐極·头盔
1/600	(魔王)卐極·项链
1/600	(魔王)卐極·手镯
1/600	(魔王)卐極·指环
1/600	(魔王)卐極·腰带
1/600	(魔王)卐極·战靴

1/900	(凤)卐真·掌控
1/900	(凤)卐真·幻舞
1/900	(凤)卐真·魅语
1/900	(凤)卐真·诸神
1/900	(凤)卐真·魅影
1/900	(凤)卐真·迷踪

1/1200	祭祀·银澜月华
1/1200	魔导·和谐之舞
1/1200	幻蓝·光辉奇迹
1/1200	虚幻·凝泪微华
1/1200	真理·时空之轮
1/1200	荣耀·虚空圣火

1/2000	这是·靴子★
1/2000	这是·腰带★
1/2000	这是·戒指★
1/2000	这是·手镯★
1/2000	这是·项链★
1/2000	这是·头盔★

#CHILD	1/1	RANDOM
(
1/30	炎寒★头盔
1/30	炎寒★项链
1/30	炎寒★手镯
1/30	炎寒★戒指
1/30	炎寒★腰带
1/30	炎寒★神靴

1/60	魂魄★头盔
1/60	魂魄★项链
1/60	魂魄★手镯
1/60	魂魄★戒指
1/60	魂魄★腰带
1/60	魂魄★神靴

1/90	争辉★心盔
1/90	争辉★项链
1/90	争辉★手镯
1/90	争辉★戒指
1/90	争辉★腰带
1/90	争辉★神靴

1/150	(滅世)卐亂·精灵
1/150	(滅世)卐亂·暗殿
1/150	(滅世)卐亂·圣光
1/150	(滅世)卐亂·死亡
1/150	(滅世)卐亂·天启
1/150	(滅世)卐亂·毁灭

1/300	(暗影)卐鬼面纱
1/300	(暗影)卐龙吊坠
1/300	(暗影)卐噬手镯
1/300	(暗影)卐血指环
1/300	(暗影)卐弑护腿
1/300	(暗影)卐影战靴

1/600	(魔王)卐極·头盔
1/600	(魔王)卐極·项链
1/600	(魔王)卐極·手镯
1/600	(魔王)卐極·指环
1/600	(魔王)卐極·腰带
1/600	(魔王)卐極·战靴

1/900	(凤)卐真·掌控
1/900	(凤)卐真·幻舞
1/900	(凤)卐真·魅语
1/900	(凤)卐真·诸神
1/900	(凤)卐真·魅影
1/900	(凤)卐真·迷踪

1/1200	祭祀·银澜月华
1/1200	魔导·和谐之舞
1/1200	幻蓝·光辉奇迹
1/1200	虚幻·凝泪微华
1/1200	真理·时空之轮
1/1200	荣耀·虚空圣火

1/2000	这是·靴子★
1/2000	这是·腰带★
1/2000	这是·戒指★
1/2000	这是·手镯★
1/2000	这是·项链★
1/2000	这是·头盔★
)

#CHILD	1/5	RANDOM
(
1/5	绝世盔
1/10	惊天の头盔
1/20	憾世の头盔
1/40	雷霆の头盔
1/80	战神の头盔
1/120	火龙の头盔
)

#CHILD	1/5	RANDOM
(
1/5	绝世盔
1/10	惊天の头盔
1/20	憾世の头盔
1/40	雷霆の头盔
1/80	战神の头盔
1/120	火龙の头盔
)

#CHILD	1/5	RANDOM
(
1/20	绝世镯
1/30	惊天の手镯
1/60	憾世の手镯
1/120	雷霆の手镯
1/200	战神の手镯
1/120	火龙の手镯
)

#CHILD	1/5	RANDOM
(
1/20	绝世戒
1/30	惊天の戒指
1/60	憾世の戒指
1/120	龙鸣戒指
1/200	战神の戒指
1/120	火龙の戒指
)

#CHILD	1/5	RANDOM
(
1/20	绝世带
1/30	惊天の腰带
1/60	憾世の腰带
1/120	雷霆の腰带
1/200	战神の腰带
1/120	火龙の腰带
)

#CHILD	1/5	RANDOM
(
1/20	绝世靴
1/30	惊天の靴子
1/60	憾世の靴子
1/120	雷霆の靴子
1/200	战神の靴子
1/120	火龙の靴子
)
