1/3000	装备强化石
1/288	の比奇国王的皇冠
1/288	の白日门主的空间
1/288	の苍月岛主的权力
1/288	の毒蛇谷主的獠牙
1/288	の封魔尊者的疾风
1/388	の沙城霸主的战刃
1/688	白肆的祈祷※※
1/488	主宰的天下※※
1/488	祭月的审判※※
1/488	屠戮的裁决※※
1/488	魔尊的泯灭※※
1/488	地冥的死神※※
1/488	斗魁的哀念※※
1/688	白肆的祈祷※※
1/488	主宰的天下※※
1/488	祭月的审判※※
1/488	屠戮的裁决※※
1/488	魔尊的泯灭※※
1/488	地冥的死神※※
1/488	斗魁的哀念※※
1/488	·如意金箍棒·
1/488	·定海の神针·
1/208	“牟尼定光珠”
1/208	神之信徒称号卷
1/18	神圣之书
1/208	“魔罗伞”
1/208	“聚宝金盆”
1/208	“乾坤尺”
1/488	·紫府金剑·
1/208	“后天袋”
1/888	封神の
1/888	创世の
1/388	「共工-触山」
1/388	「后羿-射日」
1/388	「嫦娥-奔月」
1/388	「女娲-补天」
1/388	刑天の
)

1/1388	悟道石[未解封]

1/388	创世石碑
1/8	神火·灵能の箱
1/1	神火·灵能の盒

1/188	猎人的宽刃刀
1/288	游击者的军刀
1/1388	附魔·战士
1/288	灭世者的死亡之帽

1/8	藏宝盒
1/8	藏宝箱
1/88	绝世盒
1/88	绝世箱

1/1	五行石
1/1	五行石
1/1	五行石
1/50	五行石

1/1	神祈之泪
1/1	称号卷
1/1	时装羽毛
1/1	技能强化卷
1/1	火腿肠
1/1	云顶结晶
1/1	云顶结晶
1/1	云顶结晶
1/1	云顶结晶
1/1	云顶结晶
1/1	云顶结晶
1/1	云顶结晶
1/1	神祈之泪
1/1	称号卷
1/1	时装羽毛
1/1	技能强化卷
1/1	火腿肠

#CHILD	1/1	RANDOM
(
1/1	云顶结晶
)

#CHILD	1/1	RANDOM
(
1/50	神祈之泪
1/60	称号卷
1/68	时装羽毛
1/68	技能强化卷
1/68	火腿肠
)

#CHILD	1/5	RANDOM
(
1/1000	神祈之泪
1/1000	称号卷
1/888	时装羽毛
1/3888	技能强化卷
)

1/1	100w元宝
1/1	1000元宝
1/1	1000元宝
1/1	1000元宝
1/1	3000元宝
1/5	5000元宝
1/5	5000元宝
1/100	1000元宝
1/1000	3000元宝
1/1	5000元宝
1/1000	5000元宝
1/1000	1w元宝
1/5000	5w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	5w元宝
1/1	5w元宝
1/1	5w元宝
1/1	5w元宝

1/1	1灵符
1/1	1灵符
1/10	2灵符
1/50	5灵符
1/100	10灵符
1/5000	100灵符
1/1	10灵符
1/1	10灵符
1/1	100灵符

1/120	枯木寸草★风
1/180	炽热之心★怒
1/240	血泪苍穹★魂
1/320	天下无双★斩
1/480	(滅世)卐亂·天下の無雙
1/640	(無極)卐魔·烈焰の焚天
1/960	(炎黃)卐極·王者·利刃
1/120	(凰)卐真·究極·魂兵
1/150	时空·天界圣火
1/300	拿在手上真好看★
1/400	地狱修罗神天兵
1/550	焚天·神葬+S
1/660	幻舞翔空[神泣]+SS
1/760	★★圣·霜之哀伤★★

1/20	野火燎原★炎
1/80	寒冰之心★忍
1/40	泪血斗破★魄
1/30	独霸天下★甲
1/40	(滅世)卐亂·我欲の修仙
1/96	(無極)卐魔·血戰の到底
1/120	(炎黃)卐極·王者·戰甲
1/150	火神·奇迹庇佑
1/300	时空·天界圣火
1/400	天堂圣魂鬼僧袍
1/520	神裁·鬼泣+S
1/620	火炬之光[破天]+SS
1/720	★★圣·王之悲鸣★★
