

1/48  能量脉冲
1/960  炽热之心★怒
1/1280  血泪苍穹★魂
1/2560  天下无双★斩
1/5120  (滅世)卐亂·天下の無雙
1/10240  (無極)卐魔·烈焰の焚天
1/15220  (炎黃)卐極·王者·利刃
1/20220  (凰)卐真·究極·魂兵




1/10  大师甲
1/20  王者甲
1/40  宗师甲
1/60  绝世甲
1/80  惊天の魔甲
1/120  憾世の战甲
1/240  雷霆の战甲
1/320  战神の战甲
1/480  火龙の战甲
1/640 野火燎原★炎
1/960  寒冰之心★忍
1/1280  泪血斗破★魄
1/2560 独霸天下★甲
1/5120  (滅世)卐亂·我欲の修仙
1/10240  (無極)卐魔·血戰の到底
1/15220 (炎黃)卐極·王者·戰甲
1/20220 火神·奇迹庇佑






#CHILD 1/1 RANDOM
(
1/333 枯枝★头盔
1/333 枯枝★项链
1/333 枯枝★戒指
1/333 枯枝★腰带
1/333 枯枝★靴子
)



1/50  炎寒★头盔
1/50  炎寒★项链
1/50  炎寒★手镯
1/50  炎寒★戒指
1/50  炎寒★腰带
1/50  炎寒★神靴

1/100  魂魄★头盔
1/100  魂魄★项链
1/100  魂魄★手镯
1/100  魂魄★戒指
1/100  魂魄★腰带
1/100  魂魄★神靴


1/200  争辉★心盔
1/200  争辉★项链
1/200  争辉★手镯
1/200  争辉★戒指
1/200  争辉★腰带
1/200  争辉★神靴


1/400  (滅世)卐亂·精灵
1/400  (滅世)卐亂·暗殿
1/400  (滅世)卐亂·圣光
1/400  (滅世)卐亂·死亡
1/400  (滅世)卐亂·天启
1/400  (滅世)卐亂·毁灭




1/800  (暗影)卐鬼面纱
1/800  (暗影)卐龙吊坠
1/800  (暗影)卐噬手镯
1/800  (暗影)卐血指环
1/800  (暗影)卐弑护腿
1/800  (暗影)卐影战靴


1/1200  (魔王)卐極·头盔
1/1200  (魔王)卐極·项链
1/1200  (魔王)卐極·手镯
1/1200  (魔王)卐極·指环
1/1200  (魔王)卐極·腰带
1/1200  (魔王)卐極·战靴



1/1800  (凤)卐真·掌控
1/1800  (凤)卐真·幻舞
1/1800  (凤)卐真·魅语
1/1800  (凤)卐真·诸神
1/1800  (凤)卐真·魅影
1/1800  (凤)卐真·迷踪






1/2400  祭祀·银澜月华
1/2400  魔导·和谐之舞
1/2400  幻蓝·光辉奇迹
1/2400  虚幻·凝泪微华
1/2400  真理·时空之轮
1/2400  荣耀·虚空圣火



1/4800  这是·靴子★
1/4800  这是·腰带★
1/4800  这是·戒指★
1/4800  这是·手镯★
1/4800  这是·项链★
1/4800  这是·头盔★


#CHILD 1/5 RANDOM
(
1/5  绝世盔
1/10  惊天の头盔
1/20  憾世の头盔
1/40  雷霆の头盔
1/80  战神の头盔
)

1/120  火龙の头盔



#CHILD 1/5 RANDOM
(
1/5  绝世盔
1/10  惊天の头盔
1/20  憾世の头盔
1/40  雷霆の头盔
1/80  战神の头盔
)


1/120  火龙の头盔



#CHILD 1/5 RANDOM
(
1/20  绝世镯
1/30  惊天の手镯
1/60  憾世の手镯
1/120  雷霆の手镯
1/200  战神の手镯
)

1/120  火龙の手镯



#CHILD 1/5 RANDOM
(
1/20  绝世戒
1/30  惊天の戒指
1/60  憾世の戒指
1/120  龙鸣戒指
1/200  战神の戒指
)

1/120  火龙の戒指





#CHILD 1/5 RANDOM
(
1/20  绝世带
1/30  惊天の腰带
1/60  憾世の腰带
1/120  雷霆の腰带
1/200  战神の腰带
)

1/120  火龙の腰带




#CHILD 1/5 RANDOM
(
1/20  绝世靴
1/30  惊天の靴子
1/60  憾世の靴子
1/120  雷霆の靴子
1/200  战神の靴子
)



1/120  火龙の靴子
